School Name,Address
CHANDLER LRNG ACAD,14030 WEDDINGTON ST VAN NUYS 91401
ANGELOU COMM HS,300 E 53RD ST LOS ANGELES 90011
SYLMAR LEADERSHIP ACAD SPAN,14550 BLEDSOE ST SYLMAR 91342
RANCHITO ES,7940 RANCHITO AVE PANORAMA CITY 91402
CELERITY OCTAVIA,3010 ESTARA AVE LOS ANGELES 90065
GRANT ES,1530 N WILTON PL LOS ANGELES 90028
SKL CTR-VENICE,611 FIFTH AVE VENICE 90291
M&O AREA S-2 OFF,17729 S FIGUEROA GARDENA 90248
M&O AREA C-3 OFF,1240 S NAOMI AVE LOS ANGELES 90021
GLOBAL EDUC ACAD MS,1374 W 35TH ST LOS ANGELES 90007
MID-CITY PRESCOTT MAGNET,3150 W ADAMS BLVD LOS ANGELES 90018
PC-ORGN EXCEL PROG,1543 SHATTO ST LOS ANGELES 90017
MOUNT GLEASON MS,10965 MT GLEASON AVE SUNLAND 91040
118TH ST ES,144 E 118TH ST LOS ANGELES 90061
PACIFIC BLVD,2660 E 57TH ST HUNTINGTON PARK 90255
MAYWOOD ES,5200 CUDAHY AVE MAYWOOD 90270
ROMER MS,6513 LAUREL CANYON BLVD LOS ANGELES 91606
CENTRAL CITY VALUE,221 N WESTMORELAND LOS ANGELES 90004
93RD ST ES,330 E 93RD ST LOS ANGELES 90003
HAWKINS HS RISE,825 W 60TH ST LOS ANGELES 90044
PARA LOS NI�OS CH,1617 E 7TH ST LOS ANGELES 90021
LOS ANGELES HS,4650 W OLYMPIC BLVD LOS ANGELES 90019
NORMONT ES,1001 W 253RD ST HARBOR CITY 90710
LA LEADERSHIP ACADEMY,2670 GRIFFITH AVE LOS ANGELES 90031
BRENTWOOD SCI MAG,740 GRETNA GREEN WAY LOS ANGELES 90049
68TH ST ES,612 W 68TH ST LOS ANGELES 90044
YORKDALE ES,5657 MERIDIAN ST LOS ANGELES 90042
CELERITY NASCENT CHARTER SCHOOL,3417 W JEFFERSON BLVD LOS ANGELES 90018
SEPULVEDA MS,15330 PLUMMER ST NORTH HILLS 91343
WEST ATHENS ES,1110 W 119TH ST LOS ANGELES 90044
ALLIANCE COLLEGE-READY MS ACAD #4,9719 S MAIN ST LOS ANGELES 90003
WESTMINSTER ES,1010 ABBOT KINNEY BLVD VENICE 90291
31ST DISTRICT PTSA,17445 CANTLAY ST VAN NUYS 91406
PRIMARY ACADEMY FOR SUCCESS,9075 WILLIS AVE PANORAMA CITY 91402
BUCHANAN ST ES,5024 BUCHANAN ST LOS ANGELES 90042
CISNEROS LRNG ACAD,1018 MOHAWK ST LOS ANGELES 90026
BSD-TRANSPORTATION OFFICE,2710 MEDIA CENTER DRIVE LOS ANGELES 90665
GOMPERS MS,234 E 112TH ST LOS ANGELES 90061
EVEREST VALUE SCHOOL,668 S. CATALINA AVE LOS ANGELES 90010
WILMINGTON EEC,1419 YOUNG ST WILMINGTON 90744
GARFIELD HS,5101 E SIXTH ST LOS ANGELES 90022
VISTA CHRTR MS,2900 W TEMPLE ST LOS ANGELES 90026
SAN GABRIEL ES,8628 SAN GABRIEL AVE SOUTH GATE 90280
ALLIANCE SIMON TECH ACAD HS,10720 S WILMINGTON AVE LOS ANGELES 90059
ACAD OF SCI & ENGR,5753 RODEO RD LOS ANGELES 90016
ALLIANCE COLLEGE-READY MS ACAD #5,211 S AVE 20 LOS ANGELES 90031
ALLIANCE COLLEGE-READY ACAD HS #5,4610 S MAIN ST LOS ANGELES 90037
GARR ACAD OF MATHEMATICS & ENTREPRENEURIAL STUDIES,1724 W 53RD ST LOS ANGELES 90062
KIPP EMPOWER ACADEMY,8466 S FIGUEROA ST LOS ANGELES 90003
KIPP LA COLLEGE PREP,2810 WHITTIER BLVD LOS ANGELES 90023
VALLEY CHARTER ES,16514 NORDHOFF ST. NORTH HILLS 91343
ACCELERATED ELEM,1010 E 34TH ST LOS ANGELES 90011
ACCELERATED ELEM,119 E 37TH ST LOS ANGELES 90011
CAMINO NUEVO CHRTR,697 BURLINGTON AVE LOS ANGELES 90057
ACADEMIA MODERNA,2410 BROADWAY AVE WALNUT PARK 90255
CAMINO NUEVO ES #3,1723 W CORDOVA ST LOS ANGELES 90007
KIPP COMIENZA COMM,6410 RITA AVE HUNTINGTON PARK 90255
KIPP COMIENZA COMM,6348 SEVILLE AVE HUNTINGTON PARK 90255
EXTERA PUBLIC SCHOOL,2226 E 3RD ST LOS ANGELES 90033
EXTERA PUBLIC SCHOOL,1942 E 2ND ST LOS ANGELES 90033
APPLE ACAD CHRTR PUBLIC SCH,4920 S WESTERN AVE LOS ANGELES 90062
APPLE ACAD CHRTR PUBLIC SCH,1850 W 96TH ST LOS ANGELES 90047
CITIZENS OF THE WORLD CHRTR 2,5620 DE LONGPRE AVE LOS ANGELES 90028
STELLA ACADEMY CH,5431 W 98TH ST LOS ANGELES 90045
STELLA ACADEMY CH,2636 MANSFIELD AVE LOS ANGELES 90016
PUENTE CHARTER,501 S BOYLE AVE LOS ANGELES 90033
PUENTE CHARTER,10000 S WESTERN AVE LOS ANGELES 90047
GARR ACAD OF MATHEMATICS & ENTREPRENEURIAL STUDIES,5022 S. WESTERN AVE. LOS ANGELES 90062
IVY ACADEMIA,7353 VALLEY CIRCLE BLVD WEST HILLS 91304
IVY ACADEMIA,5461 WINNETKA AVE WINNETKA 91364
KIPP SCHOLAR ACAD,1729 MARTIN LUTHER KING JR BLVD LOS ANGELES 90062
PACOIMA ES,11016 NORRIS AVE PACOIMA 91331
AZALEA ACAD,8929 KAUFMAN AVE SOUTH GATE 90280
PUC LAKEVIEW CHARTER HS,13361 GLENOAKS BLVD SYLMAR 91340
ARARAT CHARTER SCHOOL,13400 ERWIN ST VAN NUYS 91401
ARARAT CHARTER SCHOOL,6555 SYLMAR AVE VAN NUYS 91401
KIPP ACADEMY OF OPP,7019 VAN NESS AVE LOS ANGELES 90047
KIPP ACADEMY OF OPP,8466 FIGUEROA ST LOS ANGELES 90003
CELERITY DYAD CHRTR,4501 S WADSWORTH AVE LOS ANGELES 90011
ENDEAVOR COLLEGE PREP CHRTR,322 S AVE 18 LOS ANGELES 90012
ENDEAVOR COLLEGE PREP CHRTR,1314 DACOTAH ST LOS ANGELES 90023
ENDEAVOR COLLEGE PREP CHRTR,126 BLOOM ST. LOS ANGELES 90012
LARCHMONT CHARTER SCHOOL,815 N EL CENTRO AVE LOS ANGELES 90038
LARCHMONT CHARTER SCHOOL,1265 N FAIRFAX AVE WEST HOLLYWOOD 90046
LARCHMONT CHARTER SCHOOL,6611 SELMA AVE LOS ANGELES 90028
LARCHMONT CHARTER SCHOOL,2801 W 6TH ST LOS ANGELES 90057
MONLUX ES,6051 BELLAIRE AVE NO HOLLYWOOD 91606
ERWIN ES,13400 ERWIN ST VAN NUYS 91401
KITTRIDGE ES,13619 KITTRIDGE ST VAN NUYS 91401
COLDWATER CYN ES,6850 COLDWATER CANYON AVE NO HOLLYWOOD 91605
LOWMAN SP ED CTR,12827 SATICOY ST NO HOLLYWOOD 91605
ROSCOE ES,10765 STRATHERN ST SUN VALLEY 91352
HALE CHRTR ACAD,23830 CALIFA ST WOODLAND HILLS 91367
EL CAMINO REAL HS,5440 VALLEY CIRCLE BLVD WOODLAND HILLS 91367
CALABASH CHRTR ACAD,23055 EUGENE ST WOODLAND HILLS 91364
WOODLAND HILLS CHRTR,22201 SAN MIGUEL ST WOODLAND HILL S 91364
WOODLAKE AVE CHRTR,23231 HATTERAS ST WOODLAND HILLS 91367
AMBLER ES,319 E SHERMAN DR CARSON 90746
1ST ST ES,2820 E FIRST ST LOS ANGELES 90033
GATES ES,3333 MANITOU AVE LOS ANGELES 90031
LASSEN ES,15017 SUPERIOR ST NORTH HILLS 91343
NESTLE AVE CHRTR ES,5060 NESTLE AVE TARZANA 91356
PEREZ SP ED CTR,4540 MICHIGAN AVE LOS ANGELES 90022
PINEWOOD ES,10111 SILVERTON AVE TUJUNGA 91042
ESPERANZA ES,680 LITTLE ST LOS ANGELES 90017
WOODLAND HILLS ACAD,20800 BURBANK BLVD WOODLAND HILLS 91367
TARZANA ES,5726 TOPEKA DR TARZANA 91356
WILBUR CHRTR FOR ENRICHED ACAD,5213 CREBS AVE TARZANA 91356
ENCINO CHRTR ES,16941 ADDISON ST ENCINO 91316
KESTER ES,5353 KESTER AVE VAN NUYS 91411
VAN NUYS MS,5435 VESPER AVE VAN NUYS 91411
LANAI ES,4241 LANAI RD ENCINO 91436
BURBANK ES,12215 ALBERS ST NO HOLLYWOOD 91607
REED MS,4525 IRVINE AVE NO HOLLYWOOD 91602
CARPENTER COMM CHRTR,3909 CARPENTER AV STUDIO CITY 91604
LANKERSHIM ES,5250 BAKMAN AVE NO HOLLYWOOD 91601
TOLUCA LAKE ES,4840 CAHUENGA BLVD NO HOLLYWOOD 91601
OXNARD ES,10912 OXNARD ST NO HOLLYWOOD 91606
RIO VISTA ES,4243 SATSUMA AVE NO HOLLYWOOD 91602
EAGLE ROCK ES,2057 FAIR PARK AVE LOS ANGELES 90041
TOPANGA ES,22075 TOPANGA SCHOOL RD TOPANGA 90290
DORRIS PLACE ES,2225 DORRIS PL LOS ANGELES 90031
GARVANZA ES,317 N AVE 62 LOS ANGELES 90042
ARROYO SECO MUSM SCI,4805 SYCAMORE TERR LOS ANGELES 90042
LATONA ES,4312 BERENICE AVE LOS ANGELES 90031
SERRANIA ES CHRTR,5014 SERRANIA AVE WOODLAND HILLS 91364
TAFT CHRTR,5461 WINNETKA AVE WOODLAND HILLS 91364
QUEEN ANNE ES,1212 QUEEN ANNE PL LOS ANGELES 90019
CIENEGA ES,2611 S ORANGE DR LOS ANGELES 90016
WIDNEY HS,2302 S GRAMERCY P LOS ANGELES 90018
COLFAX ES,11724 ADDISON ST NO HOLLYWOOD 91607
VINE ES,955 N VINE ST LOS ANGELES 90038
MARINA EEC,4908 WESTLAWN AVE LOS ANGELES 90066
OLIVE VISTA MS,14600 TYLER ST SYLMAR 91342
DYER ES,14500 DYER ST SYLMAR 91342
GLENWOOD ES,8001 LEDGE AVE SUN VALLEY 91352
SAN FERNANDO HS,11133 O'MELVENY AVE SAN FERNANDO 91340
CHASE ES,14041 CHASE ST PANORAMA CITY 91402
SOLANO ES,615 SOLANO AVE LOS ANGELES 90012
VAN GOGH CHRTR,17160 VAN GOGH ST GRANADA HILLS 91344
EL ORO WAY FOR ENR STUDIES,12230 EL ORO WAY GRANADA HILLS 91344
FROST MS,12314 BRADFORD PL GRANADA HILLS 91344
EL DORADO ES,12749 EL DORADO AVE SYLMAR 91342
SYLMAR ES,13291 PHILLIPPI AVE SYLMAR 91342
HARDING ES,13060 HARDING ST SYLMAR 91342
GRIDLEY ES,1907 EIGHTH ST SAN FERNANDO 91340
BROADOUS ES,12561 FILMORE ST PACOIMA 91331
ALEXANDRIA AVE ES,4211 OAKWOOD AVE LOS ANGELES 90004
ANN ES,126 E BLOOM ST LOS ANGELES 90012
ALBION ST ES,322 S AVE 18 LOS ANGELES 90031
3RD ST ES,201 S JUNE ST LOS ANGELES 90004
ATWATER ES,3271 SILVER LAKE BLVD LOS ANGELES 90039
IRVING MME MAG,3010 ESTARA AVE LOS ANGELES 90065
LORETO ES,3408 ARROYO SECO AVE LOS ANGELES 90065
PALMS ES,3520 MOTOR AVE LOS ANGELES 90034
FAIRFAX HS,7850 MELROSE AVE LOS ANGELES 90046
CANYON ES,421 ENTRADA DR SANTA MONICA 90402
BROCKTON ES,1309 ARMACOST AVE LOS ANGELES 90025
BEETHOVEN ES,3711 BEETHOVEN ST LOS ANGELES 90066
VENICE HS,13000 VENICE BLVD LOS ANGELES 90066
STONER ES,11735 BRADDOCK DR CULVER CITY 90230
HOOPER ES,1225 E 52ND ST LOS ANGELES 90011
MIDDLETON ES,6537 MALABAR ST HUNTINGTON PARK 90255
PALISADES CH HS,15777 BOWDOIN ST PACIFIC PALISADES 90272
DOWNTWN BUSINESS MAG,1081 W TEMPLE ST LOS ANGELES 90012
HARRISON ST ES,3529 CITY TERRACE DR LOS ANGELES 90063
NUEVA VISTA ES,4412 RANDOLPH ST BELL 90201
ELIZABETH LC,4811 ELIZABETH ST CUDAHY 90201
NEWCASTLE ES,6520 NEWCASTLE AVE RESEDA 91335
PASEO DEL REY NAT SC,7751 PASEO DEL REY PLAYA DEL REY 90293
VALLEY ALTERN MAG,6701 BALBOA BLVD VAN NUYS 91406
COWAN ES,7615 COWAN AVE LOS ANGELES 90045
WESTPORT HTS ES,6011 W 79TH ST LOS ANGELES 90045
DORSEY HS,3537 FARMDALE AVE LOS ANGELES 90016
KENTWOOD ES,8401 EMERSON AVE LOS ANGELES 90045
COLISEUM ES,4400 COLISEUM ST LOS ANGELES 90016
MARLTON SP ED,4000 SANTO TOMAS DR LOS ANGELES 90008
BERENDO MS,1157 S BERENDO ST LOS ANGELES 90006
MAGNOLIA ES,1626 S ORCHARD AV LOS ANGELES 90006
BALDWIN HILLS ES,5421 RODEO RD LOS ANGELES 90016
54TH ST ES,5501 S EILEEN AVE LOS ANGELES 90043
EASTMAN ES,4112 E OLYMPIC BL LOS ANGELES 90023
SAN ANTONIO ES,6222 STATE ST HUNTINGTON PARK 90255
WALNUT PARK ES,2642 OLIVE ST HUNTINGTON PARK 90255
122ND ST ES,405 E 122ND ST LOS ANGELES 90061
HILLCREST DR ES,4041 HILLCREST DR LOS ANGELES 90008
MEYLER ES,1123 W 223RD ST TORRANCE 90502
FLEMING MS,25425 WALNUT ST LOMITA 90717
CRESTWOOD ST ES,1946 W CRESTWOOD ST RANCHO PALOS VERDES 90275
SAN PEDRO HS,1001 W 15TH ST SAN PEDRO 90731
WONDERLAND ES,8510 WONDERLAND AVE LOS ANGELES 90046
WEST HOLLYWOOD ES,970 N HAMMOND ST WEST HOLLYWOOD 90069
BANCROFT MS,929 N LAS PALMAS AVE LOS ANGELES 90038
VAN NESS ES,501 N VAN NESS AVE LOS ANGELES 90004
BANDINI ES,425 N BANDINI ST SAN PEDRO 90731
IVANHOE ES,2828 HERKIMER ST LOS ANGELES 90039
LOGAN ES,1711 W MONTANA ST LOS ANGELES 90026
LOCKWOOD ES,4345 LOCKWOOD AVE LOS ANGELES 90029
ELYSIAN HEIGHTS ES,1562 BAXTER ST LOS ANGELES 90026
NIGHTINGALE MS,3311 N FIGUEROA ST LOS ANGELES 90065
KENTER CANYON ES,645 N KENTER AVE LOS ANGELES 90049
MARQUEZ ES,16821 MARQUEZ AVE PACIFIC PALISADES 90272
PACIFIC PALISADES ES,800 VIA DE LA PAZ PACIFIC PALISADES 90272
REVERE MS,1450 ALLENFORD AVE LOS ANGELES 90049
OVERLAND ES,10650 ASHBY AVE LOS ANGELES 90064
CRESCENT MAG,1661 S CRESCENT HTS BLVD LOS ANGELES 90035
CARTHAY ES OF ENV STUDIES MAG,6351 W OLYMPIC BL LOS ANGELES 90048
HANCOCK PARK ES,408 S FAIRFAX AVE LOS ANGELES 90036
WILSON HS,4500 MULTNOMAH ST LOS ANGELES 90032
MURCHISON ES,1501 MURCHISON ST LOS ANGELES 90033
2ND ST ES,1942 E SECOND ST LOS ANGELES 90033
ROOSEVELT HS,456 S MATHEWS ST LOS ANGELES 90033
KENNEDY ES,4010 E RAMBOZ DR LOS ANGELES 90063
CITY TERRACE ES,4350 CITY TERRACE DR LOS ANGELES 90063
FOSHAY LC,3751 S HARVARD BLVD LOS ANGELES 90018
BRADLEY GLBL AWR MAG,3875 DUBLIN AVE LOS ANGELES 90008
NORMANDIE ES,4505 S RAYMOND AVE LOS ANGELES 90037
ANGELES MESA ES,2611 W 52ND ST LOS ANGELES 90043
WINDSOR M/S AERO MAG,5215 OVERDALE DR LOS ANGELES 90043
YES ACADEMY,3140 HYDE PARK BLVD LOS ANGELES 90043
32ND/USC PER ART MAG,822 W 32ND ST LOS ANGELES 90007
MENLO ES,4156 MENLO AVE LOS ANGELES 90037
52ND ST ES,816 W 51ST ST LOS ANGELES 90037
JOHNSON HS (OPP),5755 FOUNTAIN AVE LOS ANGELES 90028
49TH ST ES,750 E 49TH ST LOS ANGELES 90011
WADSWORTH ES,981 E 41ST ST LOS ANGELES 90011
TRINITY ES,3736 TRINITY ST LOS ANGELES 90011
20TH ST ES,1353 E 20TH ST LOS ANGELES 90011
ASCOT ES,1447 E 45TH ST LOS ANGELES 90011
HAWAIIAN ES,540 HAWAIIAN AVE WILMINGTON 90744
LOMA VISTA ES,3629 E 58TH ST MAYWOOD 90270
CORONA ES,3825 BELL AVE BELL 90201
WOODLAWN ES,6314 WOODLAWN AVE BELL 90201
74TH ST ES,2112 W 74TH ST LOS ANGELES 90047
RAYMOND AVE ES,7511 RAYMOND AVE LOS ANGELES 90044
LA SALLE ES,8715 LA SALLE AVE LOS ANGELES 90047
CIMARRON ES,11559 CIMARRON AVE HAWTHORNE 90250
107TH ST ES,147 E 107TH ST LOS ANGELES 90003
99TH ST ES,9900 S WADSWORTH AVE LOS ANGELES 90002
RILEY HS-CYESIS (BLANDING),1524 E 103RD ST LOS ANGELES 90022
MARKHAM MS,1650 E 104TH ST LOS ANGELES 90002
GRAPE ES,1940 E 111TH ST LOS ANGELES 90059
RITTER ES,11108 WATTS AVE LOS ANGELES 90059
LIBERTY ES,2728 LIBERTY BLVD SOUTH GATE 90280
MONTARA AVE ES,10018 MONTARA AVE SOUTH GATE 90280
SAN MIGUEL ES,9801 SAN MIGUEL AVE SOUTH GATE 90280
BRYSON ES,4470 MISSOURI AVE SOUTH GATE 90280
TWEEDY ES,9515 PINEHURST AVE SOUTH GATE 90280
CLAY MS,12226 S WESTERN AVE LOS ANGELES 90047
CHAPMAN ES,1947 MARINE AVE GARDENA 90249
153RD ST ES,1605 W 153RD ST GARDENA 90247
DENKER ES,1620 W 162ND ST GARDENA 90247
AVALON GARDENS ES,13940 S SAN PEDRO LOS ANGELES 90061
186TH ST ES,1581 W 186TH ST GARDENA 90248
HALLDALE ES,21514 HALLDALE AVE TORRANCE 90501
LOS ANGELES ES,1211 S HOBART BLVD LOS ANGELES 90006
NORWOOD ES,2020 OAK ST LOS ANGELES 90007
METROPOLITAN HS,727 S WILSON ST LOS ANGELES 90021
9TH ST,835 STANFORD AVE LOS ANGELES 90021
UTAH ES,255 GABRIEL GARCIA MARQUEZ ST LOS ANGELES 90033
GRATTS LRNG ACAD FOR YOUNG SCHOLARS,309 LUCAS AVE LOS ANGELES 90017
LINCOLN HS,3501 N BROADWAY LOS ANGELES 90031
MULTNOMAH ES,2101 N INDIANA AVE LOS ANGELES 90032
FARMDALE ES,2660 RUTH SWIGGETT DR LOS ANGELES 90032
EL SERENO ES,3838 ROSEMEAD AVE LOS ANGELES 90032
LORENA ES,1015 S LORENA ST LOS ANGELES 90023
MALABAR ES,3200 E MALABAR ST LOS ANGELES 90063
6TH AVE ES,3109 SIXTH AVE LOS ANGELES 90018
CLOVER ES,11020 CLOVER AVE LOS ANGELES 90034
CASTLE HTS ES,9755 CATTARAUGUS AVE LOS ANGELES 90034
VALLEY VIEW ES,6921 WOODROW WILSON DR LOS ANGELES 90068
MORNINGSIDE ES,576 N MACLAY AVE SAN FERNANDO 91340
VAUGHN NEXT CENT LC,13330 VAUGHN ST SAN FERNANDO 91340
SAN FERNANDO ES,1130 MOTT ST SAN FERNANDO 91340
CHATSWORTH CHRTR,10027 LURLINE AVE CHATSWORTH 91311
SUPERIOR ES,9756 OSO AVE CHATSWORTH 91311
NOBEL MS,9950 TAMPA AVE NORTHRIDGE 91324
KENNEDY HS,11254 GOTHIC AVE GRANADA HILLS 91344
GRANADA ES COMM CHRTR,17170 TRIBUNE ST GRANADA HILLS 91344
HENRY MS,17340 SAN JOSE ST GRANADA HILLS 91344
DEARBORN CHRTR ACAD,9240 WISH AVE NORTHRIDGE 91325
PLUMMER ES,9340 NOBLE AVE NO HOLLYWOOD 91343
VINTAGE MATH/SCI MAG,15848 STARE ST NO HOLLYWOOD 91343
CANTERBURY ES,13670 MONTAGUE ST ARLETA 91331
VENA ES,9377 VENA AVE LOS ANGELES 91331
FERNANGELES ES,12001 ART ST SUN VALLEY 91352
TELFAIR ES,10975 TELFAIR AVE PACOIMA 91331
MACLAY MS,12540 PIERCE AVE PACOIMA 91331
BRAINARD ES,11407 BRAINARD AV LAKE VIEW TERRACE 91342
SUNLAND ES,8350 HILLROSE ST SUNLAND 91040
VERDUGO HILLS HS,10625 PLAINVIEW AVE TUJUNGA 91042
APPERSON ES,10233 WOODWARD AVE SUNLAND 91040
VINEDALE ES,10150 LA TUNA CANYON RD SUN VALLEY 91352
STONEHURST ES,9851 STONEHURST AVE SUN VALLEY 91352
MOUNTAIN VIEW ES,6410 OLCOTT ST TUJUNGA 91042
JUSTICE ST ACAD CHRTR,23350 JUSTICE ST CANOGA PARK 91304
CAPISTRANO ES,8118 CAPISTRANO AVE CANOGA PARK 91304
COLUMBUS MS,22250 ELKWOOD ST CANOGA PARK 91304
CANOGA PARK ES,7438 TOPANGA CANY CANOGA PARK 91303
CANOGA PARK HS,6850 TOPANGA CYN BLVD CANOGA PARK 91303
SUNNY BRAE ES,20620 ARMINTA ST WINNETKA 91306
WINNETKA ES,8240 WINNETKA AVE CANOGA PARK 91306
MELVIN ES,7700 MELVIN AVE RESEDA 91335
CLEVELAND CHRTR,8140 VANALDEN AVE RESEDA 91335
J MILLER CAREER/TRANSITION CTR,8218 VANALDEN AVE RESEDA 91335
NAPA ES,19010 NAPA ST NORTHRIDGE 91324
LIMERICK ES,8530 LIMERICK AVE CANOGA PARK 91306
FULLBRIGHT ES,6940 FULLBRIGHT AVE CANOGA PARK 91306
WELBY WAY CHRTR,23456 WELBY WAY CANOGA PARK 91307
HAYNES CHRTR FOR ENRICHED STUDIES,6624 LOCKHURST DR WEST HILLS 91307
LOCKHURST DR CHRTR,6170 LOCKHURST DR WOODLAND HILLS 91367
POMELO COMM CHRTR,7633 MARCH AVE CANOGA PARK 91304
BLYTHE ES,18730 BLYTHE ST RESEDA 91335
RESEDA ES,7265 AMIGO AVE RESEDA 91335 
